;ndet;sp;
1;104;abudefduf.saxatilis;2
18;96;acanthurus.bahianus;2
7;73;acanthurus.chirurgus;4
12;48;bodianus.rufus;4
13;14;chaetodon.sedentarius;4
2;66;chaetodon.striatus;4
32;6;coryphopterus.glaucofraenum;3
8;30;cryptotomus.roseus;3
15;5;epinephelus.morio;2
20;73;halichoeres.brasiliensis;2
14;18;halichoeres.dimidiatus;3
17;5;halichoeres.penrosei;2
9;37;halichoeres.radiatus;3
10;79;holocentrus.adscensionis;3
11;25;mycteroperca.acutirostris;3
16;3;rypticus.saponaceus;3
3;39;scarus.zelindae;1
34;13;sparisoma.amplum;2
4;95;sparisoma.axillare;4
37;74;sparisoma.frondosum;1
5;35;sparisoma.tuiupiranga;2
6;98;stegastes.fuscus;2
