"","sp","video","UVS"
"1","abudefduf.saxatilis",1,1
"2","acanthurus.bahianus",1,1
"3","halichoeres.brasiliensis",1,1
"4","halichoeres.poeyi",0,1
"5","holocentrus.adscensionis",1,1
"6","sparisoma.axillare",1,1
"7","stegastes.fuscus",1,1
"8","sparisoma.frondosum",1,1
"9","acanthurus.chirurgus",1,1
"10","acanthurus.coeruleus",0,1
"11","bodianus.rufus",1,1
"12","chaetodon.striatus",1,1
"13","elacatinus.figaro",0,1
"14","parablennius.marmoreus",0,1
"15","scarus.zelindae",1,1
"16","cephalopholis.fulva",0,1
"17","cryptotomus.roseus",1,1
"18","gnatholepis.thompsoni",0,1
"19","myripristis.jacobus",0,1
"20","ophioblennius.trinitatis",0,1
"21","serranus.baldwini",0,1
"22","sparisoma.amplum",1,1
"23","sparisoma.radians",0,1
"24","stegastes.pictus",0,1
"25","stegastes.variabilis",0,1
"26","thalassoma.noronhanum",0,1
"27","sparisoma.tuiupiranga",1,0
"28","halichoeres.radiatus",1,0
"29","mycteroperca.acutirostris",1,0
"30","chaetodon.sedentarius",1,0
"31","halichoeres.dimidiatus",1,0
"32","epinephelus.morio",1,0
"33","rypticus.saponaceus",1,0
"34","halichoeres.penrosei",1,0
"35","coryphopterus.glaucofraenum",1,0
